domain,category,difficulty,emoji,color,situation,purpose,korean_word,korean_pronunciation,korean_definition,korean_pos,korean_synonyms,korean_antonyms,korean_word_family,korean_compound_words,korean_collocations,english_word,english_pronunciation,english_definition,english_pos,english_synonyms,english_antonyms,english_word_family,english_compound_words,english_collocations,chinese_word,chinese_pronunciation,chinese_definition,chinese_pos,chinese_synonyms,chinese_antonyms,chinese_word_family,chinese_compound_words,chinese_collocations,japanese_word,japanese_pronunciation,japanese_definition,japanese_pos,japanese_synonyms,japanese_antonyms,japanese_word_family,japanese_compound_words,japanese_collocations,korean_example,english_example,chinese_example,japanese_example
food,cooking,intermediate,🍳,#FF6F00,"home,casual",instruction,요리,yo-ri,음식을 만드는 일,명사,"조리,음식","외식,배달","기술,활동","요리법,요리책","맛있는 요리,새로운 요리",cooking,/ˈkʊkɪŋ/,preparing food,noun,"culinary,preparation","eating out,takeout","skill,activity","recipe,cookbook","delicious cooking,new cooking",烹饪,pēng rèn,制作食物的活动,名词,"烹调,制作","外食,外卖","技能,活动","食谱,烹饪书","美味烹饪,新烹饪",料理,ryōri,食べ物を作ること,名詞,"調理,クッキング","外食,出前","技術,活動","レシピ,料理本","美味しい料理,新しい料理",엄마가 요리를 잘해요.,My mom is good at cooking.,妈妈很会做菜。,お母さんは料理が上手です。
food,restaurant,intermediate,🍽️,#795548,"formal,social",request,식당,sik-dang,음식을 파는 곳,명사,"음식점,레스토랑","집,가정","건물,시설","호텔방,호텔예약","좋은 호텔,고급 호텔",restaurant,/ˈrestərɑːnt/,place that sells food,noun,"eatery,diner","home,house","place,establishment","restaurant district,restaurant owner","good restaurant,famous restaurant",餐厅,cān tīng,卖食物的地方,名词,"饭店,餐馆","家,住宅","地方,场所","餐厅区,餐厅老板","好餐厅,著名餐厅",レストラン,resutoran,食べ物を売る場所,名詞,"食堂,飲食店","家,住宅","場所,店舗","レストラン街,レストランオーナー","良いレストラン,有名なレストラン",이 식당 음식이 맛있어요.,The food at this restaurant is delicious.,这家餐厅的菜很好吃。,このレストランの料理は美味しいです。
food,spices,advanced,🌶️,#F44336,"casual,cooking",description,향신료,hyang-sin-ryo,음식에 맛과 향을 더하는 재료,명사,"조미료,양념","싱거움,무미","재료,첨가물","향신료통,향신료가게","다양한 향신료,exotic 향신료",spice,/spaɪs/,substance that adds flavor to food,noun,"seasoning,flavoring","blandness,plain","ingredient,additive","spice jar,spice shop","various spices,exotic spices",香料,xiāng liào,给食物增加味道和香味的材料,名词,"调料,佐料","淡味,无味","材料,添加剂","香料罐,香料店","各种香料,异国香料",香辛料,kōshinryō,食べ物に味と香りを加える材料,名詞,"調味料,スパイス","薄味,無味","材料,添加物","香辛料入れ,香辛料店","いろいろな香辛料,エキゾチックな香辛料",인도 음식에는 향신료가 많이 들어가요.,Indian food contains many spices.,印度菜里放很多香料。,インド料理にはたくさんの香辛料が入ります。
food,kitchen,intermediate,🔪,#607D8B,"home,casual",instruction,칼,kal,음식을 자르는 도구,명사,"나이프,도구","포크,숟가락","도구,기구","식칼,과도","날카로운 칼,좋은 칼",knife,/naɪf/,tool for cutting food,noun,"blade,cutter","fork,spoon","tool,utensil","kitchen knife,paring knife","sharp knife,good knife",刀,dāo,切食物的工具,名词,"刀具,切刀","叉子,勺子","工具,器具","菜刀,水果刀","锋利的刀,好刀",包丁,hōchō,食べ物を切る道具,名詞,"ナイフ,刃物","フォーク,スプーン","道具,器具","包丁,果物ナイフ","鋭い包丁,良い包丁",칼로 야채를 썰어요.,I cut vegetables with a knife.,用刀切蔬菜。,包丁で野菜を切ります。
food,dessert,basic,🍰,#E1BEE7,"casual,social",description,케이크,ke-i-keu,달콤한 디저트,명사,"과자,디저트",,"간식,후식","케이크집,생일케이크","맛있는 케이크,예쁜 케이크",cake,/keɪk/,sweet dessert,noun,"dessert,pastry",,"treat,sweet","cake shop,birthday cake","delicious cake,beautiful cake",蛋糕,dàn gāo,甜美的甜品,名词,"甜点,糕点",,"点心,甜食","蛋糕店,生日蛋糕","美味蛋糕,漂亮蛋糕",ケーキ,kēki,甘いデザート,名詞,"デザート,お菓子",,"おやつ,甘いもの","ケーキ屋,誕生日ケーキ","美味しいケーキ,きれいなケーキ",생일에 케이크를 먹어요.,I eat cake on my birthday.,生日时吃蛋糕。,誕生日にケーキを食べます。
travel,transportation,basic,🚗,#2196F3,"casual,travel",description,자동차,ja-dong-cha,사람이나 물건을 운반하는 기계,명사,"차,승용차","도보,걸음","교통,운송","자동차길,자동차보험","새 자동차,빠른 자동차",car,/kɑːr/,vehicle for transporting people,noun,"automobile,vehicle","walking,foot","transport,travel","highway,car insurance","new car,fast car",汽车,qì chē,运送人或物的机器,名词,"车辆,轿车","步行,徒步","交通,运输","公路,汽车保险","新汽车,快汽车",自動車,jidōsha,人や物を運ぶ機械,名詞,"車,乗用車","徒歩,歩き","交通,運送","自動車道,自動車保険","新しい自動車,速い自動車",자동차로 여행을 가요.,I go on a trip by car.,开车去旅行。,自動車で旅行に行きます。
travel,accommodation,basic,🏨,#FF5722,"formal,travel",request,호텔,ho-tel,여행자가 머무는 곳,명사,"숙박시설,여관","집,가정","건물,시설","호텔방,호텔예약","좋은 호텔,고급 호텔",hotel,/hoʊˈtel/,place where travelers stay,noun,"accommodation,lodging","home,house","building,facility","hotel room,hotel reservation","good hotel,luxury hotel",酒店,jiǔ diàn,旅行者住宿的地方,名词,"宾馆,旅馆","家,住宅","建筑,设施","酒店房间,酒店预订","好酒店,豪华酒店",ホテル,hoteru,旅行者が泊まる場所,名詞,"宿泊施設,旅館","家,住宅","建物,施設","ホテルの部屋,ホテル予約","良いホテル,高級ホテル",호텔을 예약했어요.,I booked a hotel.,我预订了酒店。,ホテルを予約しました。
travel,sightseeing,basic,🏛️,#9C27B0,"casual,travel",description,관광,gwan-gwang,구경하며 즐기는 것,명사,"여행,구경","일,업무","활동,레저","관광지,관광객","즐거운 관광,해외 관광",sightseeing,/ˈsaɪtsiːɪŋ/,visiting interesting places,noun,"tourism,touring","work,business","activity,leisure","tourist spot,tourist","enjoyable sightseeing,overseas sightseeing",观光,guān guāng,参观游览,名词,"旅游,游览","工作,业务","活动,休闲","观光地,观光客","愉快观光,海外观光",観光,kankō,見物して楽しむこと,名詞,"旅行,見学","仕事,業務","活動,レジャー","観光地,観光客","楽しい観光,海外観光",서울을 관광했어요.,I went sightseeing in Seoul.,我在首尔观光了。,ソウルを観光しました。
travel,booking,intermediate,📅,#FF9800,"formal,travel",request,예약,ye-yak,미리 약속하는 것,명사,"약속,신청","취소,해지","일정,계획","예약금,예약확인","호텔 예약,항공 예약",reservation,/ˌrezərˈveɪʃən/,booking in advance,noun,"booking,appointment","cancellation,withdrawal","schedule,plan","deposit,confirmation","hotel reservation,flight reservation",预订,yù dìng,提前预定,名词,"预约,订购","取消,解约","日程,计划","定金,预订确认","酒店预订,航班预订",予約,yoyaku,前もって約束すること,名詞,"約束,申し込み","キャンセル,解約","予定,計画","予約金,予約確認","ホテル予約,航空予約",식당을 예약하고 싶어요.,I want to make a restaurant reservation.,我想预订餐厅。,レストランを予約したいです。
travel,luggage,basic,🧳,#795548,"casual,travel",description,가방,ga-bang,물건을 넣어 나르는 것,명사,"짐,수하물","빈손,맨몸","용품,도구","가방끈,가방안","큰 가방,작은 가방",bag,/bæɡ/,container for carrying things,noun,"luggage,suitcase","empty hands,bare","item,tool","bag strap,inside bag","big bag,small bag",包,bāo,装东西的容器,名词,"行李,箱子","空手,赤手","物品,工具","包带,包内","大包,小包",鞄,kaban,物を入れて運ぶもの,名詞,"荷物,スーツケース","素手,何も持たない","用品,道具","かばんの紐,かばんの中","大きな鞄,小さな鞄",여행용 가방을 샀어요.,I bought a travel bag.,我买了旅行包。,旅行用のかばんを買いました。
travel,direction,basic,🧭,#4CAF50,"casual,travel",question,길,gil,사람이나 차가 다니는 곳,명사,"도로,거리","막힘,차단","방향,경로","길가,길찾기","넓은 길,좁은 길",road,/roʊd/,path for people or cars,noun,"street,path","blockage,barrier","direction,route","roadside,navigation","wide road,narrow road",路,lù,人或车行走的地方,名词,"道路,街道","堵塞,阻挡","方向,路线","路边,导航","宽路,窄路",道,michi,人や車が通るところ,名詞,"道路,街","詰まり,遮断","方向,ルート","道端,道案内","広い道,狭い道",이 길로 가면 돼요?,Can I go this way?,走这条路可以吗？,この道で行けますか？
travel,emergency,advanced,🚨,#F44336,"urgent,travel",request,응급,eung-geup,급하고 위험한 상황,명사,"긴급,위급","안전,평상","상황,사태","응급실,응급처치","응급 상황,응급 전화",emergency,/ɪˈmɜːrdʒənsi/,urgent dangerous situation,noun,"crisis,urgent","safety,normal","situation,condition","emergency room,first aid","emergency situation,emergency call",紧急,jǐn jí,急迫危险的情况,名词,"危急,紧迫","安全,正常","情况,状态","急诊室,急救","紧急情况,紧急电话",緊急,kinkyū,急で危険な状況,名詞,"危急,急迫","安全,普通","状況,事態","救急室,応急処置","緊急事態,緊急電話",응급실에 가야 해요.,I need to go to the emergency room.,我需要去急诊室。,救急室に行かなければなりません。
travel,documents,intermediate,📄,#607D8B,"formal,travel",description,여권,yeo-gwon,외국 여행할 때 필요한 서류,명사,"신분증,문서","국내,내국","서류,증명","여권사진,여권신청","새 여권,유효한 여권",passport,/ˈpæspɔːrt/,document needed for international travel,noun,"ID,documentation","domestic,local","document,proof","passport photo,passport application","new passport,valid passport",护照,hù zhào,出国旅行需要的证件,名词,"身份证,文件","国内,本国","证件,证明","护照照片,护照申请","新护照,有效护照",パスポート,pasupōto,外国旅行に必要な書類,名詞,"身分証,書類","国内,国内","書類,証明","パスポート写真,パスポート申請","新しいパスポート,有効なパスポート",여권을 잊지 마세요.,Don't forget your passport.,别忘了护照。,パスポートを忘れないでください。
travel,currency,intermediate,💱,#4CAF50,"formal,travel",request,환전,hwan-jeon,돈을 다른 나라 돈으로 바꾸는 것,명사,"교환,바꿈","그대로,유지","금융,거래","환전소,환율","달러 환전,원화 환전",exchange,/ɪksˈtʃeɪndʒ/,changing money to another currency,noun,"conversion,swap","keeping,maintaining","finance,transaction","exchange office,exchange rate","dollar exchange,won exchange",兑换,duì huàn,把钱换成其他国家的钱,名词,"交换,更换","保持,维持","金融,交易","兑换处,汇率","美元兑换,人民币兑换",両替,ryōgae,お金を他の国のお金に変えること,名詞,"交換,変更","そのまま,維持","金融,取引","両替所,為替レート","ドル両替,円両替",공항에서 환전했어요.,I exchanged money at the airport.,我在机场兑换了钱。,空港で両替しました。
travel,activity,basic,🏊,#00BCD4,"casual,travel",description,수영,su-yeong,물에서 하는 운동,명사,"헤엄,물놀이","육상,땅","운동,활동","수영장,수영복","자유 수영,배영",swimming,/ˈswɪmɪŋ/,sport done in water,noun,"aquatic sport,stroke","land,ground","exercise,activity","swimming pool,swimsuit","freestyle swimming,backstroke",游泳,yóu yǒng,在水中进行的运动,名词,"游水,水上运动","陆地,地面","运动,活动","游泳池,泳衣","自由泳,仰泳",水泳,suiei,水の中でする運動,名詞,"泳ぎ,水中運動","陸上,地面","運動,活動","プール,水着","自由形,背泳ぎ",바다에서 수영했어요.,I swam in the sea.,我在海里游泳了。,海で泳ぎました。
business,meeting,intermediate,👥,#2196F3,"formal,work",instruction,발표,bal-pyo,많은 사람 앞에서 말하는 것,명사,"프레젠테이션,보고","질문,청취","활동,업무","발표자료,발표시간","중요한 발표,성공적인 발표",presentation,/ˌprezənˈteɪʃən/,speaking in front of many people,noun,"speech,report","question,listening","activity,work","presentation material,presentation time","important presentation,successful presentation",发表,fā biǎo,在很多人面前讲话,名词,"演讲,报告","提问,听取","活动,工作","发表资料,发表时间","重要发表,成功发表",発表,happyō,多くの人の前で話すこと,名詞,"プレゼンテーション,報告","質問,聞くこと","活動,仕事","発表資料,発表時間","重要な発表,成功した発表",내일 발표가 있어요.,I have a presentation tomorrow.,明天有发表。,明日発表があります。
business,finance,advanced,💰,#4CAF50,"formal,work",description,투자,tu-ja,돈을 넣어서 이익을 얻으려는 것,명사,"자본,자금","소비,지출","경제,금융","투자자,투자금","안전한 투자,위험한 투자",investment,/ɪnˈvestmənt/,putting money to gain profit,noun,"capital,funding","spending,expense","economy,finance","investor,investment money","safe investment,risky investment",投资,tóu zī,投入资金获取利益,名词,"资本,资金","消费,支出","经济,金融","投资者,投资金","安全投资,风险投资",投資,tōshi,お金を入れて利益を得ようとすること,名詞,"資本,資金","消費,支出","経済,金融","投資家,投資金","安全な投資,危険な投資",주식에 투자했어요.,I invested in stocks.,我投资了股票。,株式に投資しました。
business,marketing,intermediate,📊,#FF9800,"formal,work",instruction,광고,gwang-go,상품을 알리는 것,명사,"홍보,마케팅","숨김,비밀","활동,업무","광고비,광고효과","효과적인 광고,창의적인 광고",advertisement,/ˈædvərtaɪzmənt/,promoting products,noun,"promotion,marketing","hiding,secret","activity,work","advertising cost,advertising effect","effective advertisement,creative advertisement",广告,guǎng gào,宣传产品,名词,"宣传,营销","隐藏,秘密","活动,工作","广告费,广告效果","有效广告,创意广告",広告,kōkoku,商品を知らせること,名詞,"宣伝,マーケティング","隠すこと,秘密","活動,仕事","広告費,広告効果","効果的な広告,創造的な広告",텔레비전 광고를 봤어요.,I saw a TV advertisement.,我看了电视广告。,テレビ広告を見ました。
business,office,basic,🏢,#607D8B,"formal,work",description,사무실,sa-mu-sil,일하는 곳,명사,"오피스,직장","집,가정","장소,공간","사무용품,사무직","넓은 사무실,새 사무실",office,/ˈɔːfɪs/,place where people work,noun,"workplace,bureau","home,house","place,space","office supplies,office job","spacious office,new office",办公室,bàn gōng shì,工作的地方,名词,"办公场所,职场","家,住宅","地方,空间","办公用品,办公工作","宽敞办公室,新办公室",事務所,jimusho,働く場所,名詞,"オフィス,職場","家,住宅","場所,空間","事務用品,事務職","広い事務所,新しい事務所",사무실에서 일해요.,I work in an office.,我在办公室工作。,事務所で働きます。
business,project,intermediate,📋,#9C27B0,"formal,work",instruction,계획,gye-hoek,미리 생각해서 정하는 것,명사,"기획,설계","즉흥,무계획","준비,계획","계획서,계획안","좋은 계획,세부 계획",plan,/plæn/,something decided in advance,noun,"scheme,design","improvisation,spontaneous","preparation,planning","plan document,plan proposal","good plan,detailed plan",计划,jì huà,提前考虑决定的事情,名词,"规划,设计","即兴,无计划","准备,计划","计划书,计划案","好计划,详细计划",計画,keikaku,前もって考えて決めること,名詞,"企画,設計","即興,無計画","準備,プランニング","計画書,計画案","良い計画,詳細な計画",여행 계획을 세웠어요.,I made a travel plan.,我制定了旅行计划。,旅行の計画を立てました。
business,negotiation,advanced,🤝,#FF5722,"formal,work",request,협상,hyeop-sang,서로 의견을 맞추는 것,명사,"교섭,조정","대립,갈등","과정,활동","협상테이블,협상력","성공적인 협상,어려운 협상",negotiation,/nɪˌɡoʊʃiˈeɪʃən/,discussing to reach agreement,noun,"bargaining,discussion","conflict,disagreement","process,activity","negotiation table,negotiation power","successful negotiation,difficult negotiation",谈判,tán pàn,相互协调意见,名词,"协商,调解","对立,冲突","过程,活动","谈判桌,谈判力","成功谈判,困难谈判",交渉,kōshō,お互いに意見を合わせること,名詞,"協議,調整","対立,対立","過程,活動","交渉テーブル,交渉力","成功した交渉,困難な交渉",가격 협상을 했어요.,I negotiated the price.,我谈判了价格。,価格交渉をしました。
business,sales,basic,💼,#795548,"formal,work",description,판매,pan-mae,물건을 파는 것,명사,"영업,세일즈","구매,구입","활동,업무","판매원,판매량","온라인 판매,직접 판매",sales,/seɪlz/,selling things,noun,"selling,commerce","buying,purchase","activity,work","salesperson,sales volume","online sales,direct sales",销售,xiāo shòu,卖东西,名词,"营业,销售","购买,采购","活动,工作","销售员,销售量","在线销售,直接销售",販売,hanbai,物を売ること,名詞,"営業,セールス","購入,買い物","活動,仕事","販売員,販売量","オンライン販売,直接販売",이 제품을 판매해요.,I sell this product.,我销售这个产品。,この製品を販売します。
business,strategy,advanced,🎯,#E91E63,"formal,work",instruction,전략,jeon-ryak,목표를 달성하는 방법,명사,"계획,방안","무계획,즉흥","방법,수단","전략적,전략가","효과적인 전략,새로운 전략",strategy,/ˈstrætədʒi/,method to achieve goals,noun,"plan,approach","randomness,improvisation","method,means","strategic,strategist","effective strategy,new strategy",战略,zhàn lüè,实现目标的方法,名词,"计划,方案","无计划,即兴","方法,手段","战略性,战略家","有效战略,新战略",戦略,senryaku,目標を達成する方法,名詞,"計画,方案","無計画,即興","方法,手段","戦略的,戦略家","効果的な戦略,新しい戦略",마케팅 전략을 세웠어요.,I developed a marketing strategy.,我制定了营销战略。,マーケティング戦略を立てました。
education,teaching,intermediate,👨‍🏫,#FF9800,"formal,school",instruction,선생님,seon-saeng-nim,학생을 가르치는 사람,명사,"교사,교수","학생,제자","직업,역할","선생님께,교실","좋은 선생님,엄격한 선생님",teacher,/ˈtiːtʃər/,person who teaches students,noun,"instructor,educator","student,pupil","profession,role","to teacher,classroom","good teacher,strict teacher",老师,lǎo shī,教学生的人,名词,"教师,教授","学生,弟子","职业,角色","给老师,教室","好老师,严格老师",先生,sensei,学生を教える人,名詞,"教師,教授","学生,弟子","職業,役割","先生に,教室","良い先生,厳しい先生",선생님이 수업을 해요.,The teacher is teaching a class.,老师在上课。,先生が授業をします。
education,learning,basic,📖,#4CAF50,"casual,school",instruction,책,chaek,글이 적힌 종이를 묶은 것,명사,"서적,도서","영상,음성","물건,자료","책장,책상","좋은 책,재미있는 책",book,/bʊk/,pages with writing bound together,noun,"publication,volume","video,audio","item,material","bookshelf,desk","good book,interesting book",书,shū,写有文字的纸张装订成册,名词,"书籍,图书","视频,音频","物品,资料","书架,书桌","好书,有趣的书",本,hon,文字が書かれた紙を綴じたもの,名詞,"書籍,図書","映像,音声","物,資料","本棚,机","良い本,面白い本",책을 읽고 있어요.,I am reading a book.,我在读书。,本を読んでいます。
