concept_id,domain,category,difficulty,situation,purpose,korean_title,korean_structure,korean_description,korean_example,english_title,english_structure,english_description,english_example,japanese_title,japanese_structure,japanese_description,japanese_example,chinese_title,chinese_structure,chinese_description,chinese_example,spanish_title,spanish_structure,spanish_description,spanish_example,korean_word,english_word,japanese_word,chinese_word,spanish_word
daily_welcome_home_greeting,daily,routine,basic,"casual,home",greeting,귀가 인사 패턴,다녀왔습니다 + [상황 묻기],"귀가 시 사용하는 인사말로, 집안의 상황을 물어보는 표현과 함께 사용","다녀왔습니다. 저녁 식사는 하셨나요?",Welcome Home Pattern,I'm home + [asking situation],"Arriving home pattern, combined with asking about home situation","I'm home. Have you had dinner?",帰宅挨拶パターン,ただいま + [状況確認],"帰宅時の挨拶パターン、家庭の状況を尋ねる表現と共に使用","ただいま。夕ご飯は食べましたか？",回家问候模式,我回来了 + [询问情况],"回家时的问候语，搭配询问家中情况","我回来了，晚饭吃了吗？",Patrón de Llegada a Casa,Ya llegué + [preguntando situación],"Patrón de llegada a casa, combinado con preguntas sobre la situación","Ya llegué. ¿Ya cenaste?",다녀왔습니다,I'm home,ただいま,我回来了,ya llegué
daily_leaving_home_greeting,daily,routine,basic,"casual,home",greeting,외출 인사 패턴,다녀오겠습니다 + [귀가 시간],"외출 시 사용하는 인사말로, 예상 귀가 시간을 알리는 표현과 함께 사용","다녀오겠습니다. 점심 때쯤 돌아올게요.",Leaving Home Pattern,I'm leaving + [return time],"Leaving home pattern, combined with expected return time","I'm leaving. I'll be back around lunch time.",外出挨拶パターン,いってきます + [帰宅時間],"外出時の挨拶パターン、予定帰宅時間を伝える表現と共に使用","いってきます。お昼頃に帰ります。",出门问候模式,我走了 + [返回时间],"出门时的问候语，搭配预计返回时间","我出门了，午饭时候回来。",Patrón de Salida de Casa,Me voy + [hora de regreso],"Patrón de salida de casa, combinado con hora esperada de regreso","Me voy. Volveré a la hora del almuerzo.",다녀오겠습니다,I'm leaving,いってきます,我走了,me voy
daily_eating_greeting,daily,routine,basic,"casual,home",greeting,식사 시작 패턴,잘 먹겠습니다 + [음식 칭찬],"식사 시작 시 사용하는 인사말로, 음식에 대한 긍정적 평가와 함께 사용","잘 먹겠습니다. 오늘 반찬이 정말 맛있어 보여요.",Meal Starting Pattern,Let's eat + [food compliment],"Meal starting pattern, combined with positive food evaluation","Let's eat. Today's side dishes look really delicious.",食事開始パターン,いただきます + [料理の評価],"食事開始の挨拶パターン、料理への評価を加える表現と共に使用","いただきます。今日のおかずは本当に美味しそうです。",用餐开始模式,开动了 + [赞美菜品],"用餐开始时的问候语，搭配对菜品的赞美","开动了，今天的菜看起来真好吃。",Patrón de Inicio de Comida,¡Buen provecho! + [elogio comida],"Patrón de inicio de comida, combinado con elogios a la comida","¡Buen provecho! Los platillos de hoy se ven muy deliciosos.",잘 먹겠습니다,enjoy your meal,いただきます,开动了,¡buen provecho!
daily_finish_eating_greeting,daily,routine,basic,"casual,home",greeting,식사 감사 패턴,잘 먹었습니다 + [맛 평가],"식사 후 사용하는 감사 인사말로, 음식 맛에 대한 평가와 함께 사용","잘 먹었습니다. 정말 맛있는 식사였어요.",After Meal Pattern,Thanks for the meal + [taste evaluation],"After meal gratitude pattern, combined with food taste evaluation","Thanks for the meal. It was really delicious.",食後感謝パターン,ごちそうさま + [味の評価],"食後の感謝挨拶パターン、料理の味への評価と共に使用","ごちそうさまでした。とても美味しかったです。",用餐感谢模式,吃好了 + [评价味道],"用餐后的感谢语，搭配对味道的评价","吃好了，真是太好吃了。",Patrón de Agradecimiento por Comida,Gracias por la comida + [evaluación sabor],"Patrón de agradecimiento después de comer, combinado con evaluación del sabor","Gracias por la comida. Estuvo muy delicioso.",잘 먹었습니다,thanks for the meal,ごちそうさま,吃好了,gracias por la comida
daily_breakfast_greeting,daily,routine,basic,"casual,home",greeting,아침 식사 패턴,[아침 식사] + [건강 언급],"아침 식사 관련 표현으로, 건강에 대한 언급을 함께 사용","아침 식사 준비됐어요. 몸에 좋은 음식들이에요.",Breakfast Pattern,Breakfast + [health mention],"Breakfast related pattern, combined with health benefits mention","Breakfast is ready. It's all healthy food.",朝食パターン,朝食 + [健康言及],"朝食に関するパターン、健康への言及と共に使用","朝食の準備ができました。体に良い食事です。",早餐模式,早餐 + [健康提示],"早餐相关用语，搭配健康益处","早餐准备好了，都是对身体有益的食物。",Patrón de Desayuno,Desayuno + [mención salud],"Patrón relacionado con el desayuno, combinado con beneficios para la salud","El desayuno está listo. Es toda comida saludable.",아침 식사,breakfast,朝食,早餐,desayuno
daily_lunch_greeting,daily,routine,basic,"casual,home",greeting,점심 식사 패턴,[점심 식사] + [장소 제안],"점심 식사 관련 표현으로, 식사 장소 제안을 함께 사용","점심 식사하러 가실까요? 맛있는 식당을 찾았어요.",Lunch Pattern,Lunch + [place suggestion],"Lunch related pattern, combined with place suggestion","Shall we go for lunch? I found a nice restaurant.",昼食パターン,昼食 + [場所提案],"昼食に関するパターン、場所の提案と共に使用","お昼ご飯を食べに行きませんか？美味しいレストランを見つけました。",午餐模式,午餐 + [地点建议],"午餐相关用语，搭配地点建议","我们去吃午餐吧？我找到了一家不错的餐厅。",Patrón de Almuerzo,Almuerzo + [sugerencia lugar],"Patrón relacionado con el almuerzo, combinado con sugerencia de lugar","¿Vamos a almorzar? Encontré un buen restaurante.",점심 식사,lunch,昼食,午餐,almuerzo
daily_dinner_greeting,daily,routine,basic,"casual,home",greeting,저녁 식사 패턴,[저녁 식사] + [특별 메뉴],"저녁 식사 관련 표현으로, 특별한 메뉴 언급을 함께 사용","저녁 식사 같이 하시죠. 특별한 요리를 준비했어요.",Dinner Pattern,Dinner + [special menu],"Dinner related pattern, combined with special menu mention","Let's have dinner together. I prepared something special.",夕食パターン,夕食 + [特別メニュー],"夕食に関するパターン、特別なメニューの言及と共に使用","夕食を一緒にしましょう。特別な料理を用意しました。",晚餐模式,晚餐 + [特别菜单],"晚餐相关用语，搭配特别菜品","一起吃晚餐吧，我准备了特别的菜。",Patrón de Cena,Cena + [menú especial],"Patrón relacionado con la cena, combinado con mención de menú especial","Cenemos juntos. Preparé algo especial.",저녁 식사,dinner,夕食,晚餐,cena
daily_meeting_greeting,daily,routine,basic,"casual,home",greeting,만남 인사 패턴,[만남 평가] + [재회 약속],"만남에 대한 평가와 함께 재회를 약속하는 표현 사용","오늘 만남이 너무 즐거웠어요. 다음에 또 봐요.",Meeting Pattern,Meeting evaluation + [next meeting],"Meeting evaluation pattern, combined with future meeting promise","Today's meeting was really enjoyable. Let's meet again.",出会いパターン,出会いの評価 + [再会の約束],"出会いの評価と共に再会を約束するパターン","今日の出会いはとても楽しかったです。また会いましょう。",相遇模式,相遇评价 + [重逢约定],"相遇评价用语，搭配重逢约定","今天的相遇很愉快，下次再见。",Patrón de Encuentro,Evaluación encuentro + [próxima reunión],"Patrón de evaluación de encuentro, combinado con promesa de reencuentro","El encuentro de hoy fue muy agradable. Nos vemos de nuevo.",만남,meeting,出会い,会面,encuentro
daily_rest_greeting,daily,routine,basic,"casual,home",greeting,휴식 권유 패턴,[휴식 시간] + [편안함 제공],"휴식 시간을 알리고 편안한 휴식을 권하는 표현 사용","휴식 시간이에요. 편하게 쉬다 가세요.",Rest Pattern,Rest time + [comfort offering],"Rest announcement pattern, combined with comfort suggestion","It's rest time. Please take a comfortable break.",休憩パターン,休憩時間 + [くつろぎの提供],"休憩時間を告げ、くつろぎを提供するパターン","休憩時間です。ゆっくり休んでください。",休息模式,休息时间 + [提供舒适],"休息时间用语，搭配舒适建议","休息时间到了，请好好休息。",Patrón de Descanso,Tiempo descanso + [oferta comodidad],"Patrón de anuncio de descanso, combinado con sugerencia de comodidad","Es hora de descansar. Tómate un descanso cómodo.",휴식,rest,休憩,休息,descanso
daily_wash_greeting,daily,routine,basic,"casual,home",greeting,세면 준비 패턴,[씻으러 가다] + [준비 상태],"씻으러 가는 것을 알리고 준비 상태를 언급하는 표현","씻으러 갈게요. 물 따뜻하게 해놨어요.",Washing Preparation Pattern,Going to wash + [preparation status],"Pattern for announcing washing with preparation status","I'm going to wash up. I've warmed up the water.",洗面準備パターン,お風呂に入る + [準備状態],"洗面に行くことを告げ、準備状態を伝えるパターン","お風呂に入ってきます。お湯を沸かしておきました。",洗漱准备模式,去洗漱 + [准备状态],"告知洗漱意图并说明准备情况","我去洗漱了，水已经热好了。",Patrón de Preparación para Lavarse,Ir a lavarse + [estado preparación],"Patrón para anunciar el lavado con estado de preparación","Voy a lavarme. Ya he calentado el agua.",씻으러 갈게요,going to wash,お風呂に入ってきます,去洗漱,voy a lavarme
daily_study_greeting,daily,routine,basic,"casual,home",greeting,학습 계획 패턴,[공부하러 가다] + [시간/장소],"공부하러 가는 것을 알리고 예상 시간이나 장소를 언급하는 표현","공부하러 갈게요. 도서관에서 늦게 올 거예요.",Study Plan Pattern,Going to study + [time/place],"Pattern for announcing study with expected time or location","I'm going to study. I'll be back late from the library.",学習計画パターン,勉強する + [時間/場所],"勉強に行くことを告げ、予定時間や場所を伝えるパターン","勉強してきます。図書館から遅くなります。",学习计划模式,去学习 + [时间/地点],"告知学习意图并说明时间或地点","我去学习了，会在图书馆待到很晚。",Patrón de Plan de Estudio,Ir a estudiar + [tiempo/lugar],"Patrón para anunciar estudio con tiempo o lugar esperado","Voy a estudiar. Volveré tarde de la biblioteca.",공부하러 갈게요,going to study,勉強してきます,去学习,voy a estudiar
daily_exercise_greeting,daily,routine,basic,"casual,home",greeting,운동 계획 패턴,[운동하러 가다] + [운동 내용],"운동하러 가는 것을 알리고 구체적인 운동 계획을 언급하는 표현","운동하러 갈게요. 공원에서 한 시간 정도 뛰고 올게요.",Exercise Plan Pattern,Going to exercise + [exercise details],"Pattern for announcing exercise with specific workout plans","I'm going to exercise. I'll run in the park for about an hour.",運動計画パターン,運動する + [運動内容],"運動に行くことを告げ、具体的な運動計画を伝えるパターン","運動してきます。公園で1時間ほど走ってきます。",运动计划模式,去运动 + [运动内容],"告知运动意图并说明具体计划","我去运动了，会在公园跑步一个小时左右。",Patrón de Plan de Ejercicio,Ir a ejercitarse + [detalles ejercicio],"Patrón para anunciar ejercicio con planes específicos","Voy a hacer ejercicio. Correré en el parque durante una hora.",운동하러 갈게요,going to exercise,運動してきます,去运动,voy a hacer ejercicio
daily_shopping_greeting,daily,routine,basic,"casual,home",greeting,쇼핑 안내 패턴,[장보러 가다] + [필요한 것 확인],"장보러 가는 것을 알리고 필요한 물품을 확인하는 표현","장보러 갈게요. 필요한 것 있으면 말씀해 주세요.",Shopping Notice Pattern,Going shopping + [needs check],"Pattern for announcing shopping with needs confirmation","I'm going shopping. Let me know if you need anything.",買い物案内パターン,買い物に行く + [必要品確認],"買い物に行くことを告げ、必要品を確認するパターン","買い物に行ってきます。必要なものがあれば教えてください。",购物通知模式,去购物 + [需求确认],"告知购物意图并确认需求","我去购物了，如果需要什么请告诉我。",Patrón de Aviso de Compras,Ir de compras + [verificar necesidades],"Patrón para anunciar compras con confirmación de necesidades","Voy de compras. Dime si necesitas algo.",장보러 갈게요,going shopping,買い物に行ってきます,去购物,voy de compras
daily_clean_greeting,daily,routine,basic,"casual,home",greeting,청소 계획 패턴,[청소하러 가다] + [청소 범위],"청소하러 가는 것을 알리고 청소할 범위를 언급하는 표현","청소하러 갈게요. 집 안을 깨끗이 정리할게요.",Cleaning Plan Pattern,Going to clean + [cleaning scope],"Pattern for announcing cleaning with area coverage","I'm going to clean. I'll tidy up the house thoroughly.",掃除計画パターン,掃除する + [掃除範囲],"掃除に行くことを告げ、掃除範囲を伝えるパターン","掃除してきます。家の中をきれいに整理します。",打扫计划模式,去打扫 + [打扫范围],"告知打扫意图并说明范围","我去打扫了，会把房子好好整理干净。",Patrón de Plan de Limpieza,Ir a limpiar + [alcance limpieza],"Patrón para anunciar limpieza con cobertura de área","Voy a limpiar. Ordenaré la casa a fondo.",청소하러 갈게요,going to clean,掃除してきます,去打扫,voy a limpiar
